"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TYW1",-0.49749547436803,2.12354989957718,-2.70813252480731,0.00782598281836338,0.999798845119145,-2.56738598580872
"RNA5SP225",-0.783029901580601,4.89894688793812,-2.7078234642562,0.00783281824218681,0.999798845119145,-2.56800104566259
"CRACDL",0.521875814973905,1.1745637637941,2.70118948977631,0.00798085326852374,0.999798845119145,-2.58118889579613
"UBE2V1P2",-0.771572480038863,1.51748261721437,-2.68916946766231,0.00825555848537427,0.999798845119145,-2.60501368339642
"LLPH",0.433407062943,1.3357236541522,2.68884588153434,0.00826307082411423,0.999798845119145,-2.60565381019235
"CD33",0.564684242524763,2.50864068356114,2.68072191326383,0.0084537188488986,0.999798845119145,-2.62170334910979
"HTATIP2",0.511311980203797,4.80878838590628,2.68023932448133,0.0084651683875702,0.999798845119145,-2.62265543850419
"DUSP23",0.783432674303431,5.10481593521563,2.67904325075067,0.00849360613424386,0.999798845119145,-2.62501451742584
"TXNDC12",0.617352347849892,1.62237476129527,2.67751848147045,0.00852998443111763,0.999798845119145,-2.62802059756777
"ZNF205",-0.588564673786052,1.33443855017235,-2.6773260134901,0.00853458639734328,0.999798845119145,-2.6283999441119
"SLC36A4",0.429062547965638,1.55555639447866,2.67548332891276,0.00857875952841282,0.999798845119145,-2.63203062270283
"MEGF6",-0.372539754150374,0.814401463048567,-2.67470043357159,0.00859758983711022,0.999798845119145,-2.63357253160285
"PPP2R3C",0.473642577705058,3.0039429935074,2.67295306181245,0.00863975298305089,0.999798845119145,-2.63701258357913
"YPEL5P2",-0.642400867214984,0.899518033254608,-2.67055933758805,0.00869781629694035,0.999798845119145,-2.64172199515414
"METTL26",0.638955343564089,3.64107636093749,2.67012099233595,0.00870848721179913,0.999798845119145,-2.64258400512562
"HMGN2P3",0.877250129399112,3.41891372349229,2.66677621707034,0.00879030236286271,0.999798845119145,-2.64915755765809
"NOG",-0.417104116178935,0.440277221696601,-2.66203710966503,0.00890741545502395,0.999798845119145,-2.65845936625207
"BACH2",-0.54500177829044,2.02088035421276,-2.65361176030504,0.00911911552666342,0.999798845119145,-2.67496151665699
"DDX31",0.432862536909592,1.54522585676019,2.62819483237458,0.00978561453186676,0.999798845119145,-2.72447242135549
"VEGFC",-0.592267944831685,3.56566550729827,-2.62492711602793,0.00987442123086019,0.999798845119145,-2.73080812222041
"CD248",-0.492893582847782,0.658748494656772,-2.62302415823943,0.00992647254248779,0.999798845119145,-2.73449460606549
"RNU6-1145P",-0.966978538158671,1.08802423387469,-2.61272090746294,0.0102126208809935,0.999798845119145,-2.75441457992579
"DDIAS",0.459547634437063,1.11194545339827,2.60972741056242,0.0102971420366727,0.999798845119145,-2.76018947630434
"HCG20",0.472236748500566,0.415649935417086,2.60771374612051,0.0103543521068202,0.999798845119145,-2.7640709283389
"SPTSSA",0.423153160781518,4.0185373417083,2.60372709993636,0.0104684626594084,0.999798845119145,-2.77174781067976
